
[info] [2024-04-12T23:04:05.514896] Successfully wrote new config to file
[info] [2024-04-12T23:56:56.806875] Setting type found to be ('str', None)
[info] [2024-04-12T23:59:03.335534] Setting type found to be ('str', None)
[info] [2024-04-13T00:59:56.093063] Setting type found to be ('str', None)
[info] [2024-04-13T01:01:25.895324] Setting type found to be ('str', None)
[info] [2024-04-13T01:02:13.883535] Setting type found to be ('str', None)
[info] [2024-04-13T01:02:50.916638] Successfully wrote new config to file
[info] [2024-04-13T01:03:39.124426] Setting type found to be ('str', None)
[info] [2024-04-13T01:05:24.793041] Setting type found to be ('str', None)
[info] [2024-04-13T01:15:47.479957] Successfully wrote new config to file
[info] [2024-04-13T01:16:40.399524] Setting type found to be ('str', None)
[info] [2024-04-13T01:16:49.562731] Successfully wrote new config to file
[info] [2024-04-13T01:17:31.648757] Setting type found to be ('str', None)
[info] [2024-04-13T01:17:49.367684] User cancelled the change to C:/Users/Jake/AppData/Roaming/virtuali/GSX/MSFS with potential new value of C:/Users/Jake/AppData/Roaming/virtuali/GSX/MSFS
[info] [2024-04-13T01:18:00.716214] Setting type found to be ('str', None)
[info] [2024-04-13T01:18:09.113854] Successfully wrote new config to file
[info] [2024-04-13T01:32:10.584573] Setting type found to be ('list', 'str')
[info] [2024-04-13T01:32:48.664300] Setting type found to be ('list', 'str')
[info] [2024-04-13T01:32:56.172625] User selected all as the display data choice
[info] [2024-04-13T01:38:21.335586] Setting type found to be ('list', 'str')
[info] [2024-04-13T01:38:22.973820] User selected all as the display data choice
[info] [2024-04-13T01:52:48.602392] Setting type found to be ('list', 'str')
[info] [2024-04-13T01:52:50.435540] User selected all as the display data choice
[info] [2024-04-13T01:53:30.668478] Setting type found to be ('list', 'str')
[info] [2024-04-13T01:53:32.355487] User selected all as the display data choice
[info] [2024-04-13T01:54:29.972741] Setting type found to be ('list', 'str')
[info] [2024-04-13T01:54:35.461093] User selected all as the display data choice
[info] [2024-04-13T01:55:41.436664] Setting type found to be ('list', 'str')
[info] [2024-04-13T01:55:42.953724] User selected all as the display data choice
[info] [2024-04-13T01:55:49.053104] Successfully wrote new config to file
[info] [2024-04-13T01:56:23.829967] Setting type found to be ('list', 'str')
[info] [2024-04-13T01:58:09.580939] Setting type found to be ('list', 'str')
[info] [2024-04-13T01:58:26.157646] Successfully wrote new config to file
[info] [2024-04-13T02:01:09.512601] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.513602] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.513602] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.514603] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.514603] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.514603] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.515603] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.515603] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.515603] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.516604] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.516604] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.516604] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.517605] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.517605] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.517605] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.518606] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.518606] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.518606] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.519607] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.519607] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.520608] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.520608] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.520608] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.521609] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:09.521609] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:09.679437] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:09.818570] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:09.957785] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:10.092410] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:10.222644] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:10.358628] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:10.489747] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:10.625371] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:10.761496] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:10.900615] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:11.029835] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:11.161788] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:11.290701] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:11.425504] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:11.561638] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:11.707378] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:11.840373] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:11.972498] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:12.105570] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:12.237496] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:12.366622] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:12.500021] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:12.635314] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:12.771400] Successfully retrieved item (scan_display_data) from file (scan_config)
[info] [2024-04-13T02:01:45.429555] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.429555] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.429555] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.430557] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.430557] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.430557] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.431558] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.431558] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.431558] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.432558] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.432558] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.432558] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.433559] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.433559] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.433559] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.434560] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.434560] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.434560] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.435561] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.435561] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.435561] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.436562] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.436562] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.437563] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:01:45.437563] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:45.579695] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:45.712914] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:45.842357] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:45.976545] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:46.109666] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:46.238738] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:46.374646] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:46.511628] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:46.647858] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:46.789703] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:46.942610] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:47.076318] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:47.210434] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:47.342396] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:47.474020] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:47.608655] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:47.744283] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:47.874450] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:48.004568] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:48.139772] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:48.275401] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:48.416429] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:48.559441] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:01:48.704882] Successfully retrieved item (scan_display_data) from file (scan_config)
[info] [2024-04-13T02:04:17.197295] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.197295] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.198296] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.198296] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.198296] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.199297] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.199297] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.200298] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.200298] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.200298] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.201299] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.201299] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.201299] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.201299] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.202779] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.202779] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.202779] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.203774] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.203774] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.203774] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.204775] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.204775] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.204775] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.205777] Successfully retrieved item (recognised_profile_extensions) from file (scan_config)
[info] [2024-04-13T02:04:17.205777] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:04:17.347483] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:04:17.476793] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:04:17.604791] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:04:17.750373] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:04:17.880824] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:04:18.010570] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:04:18.146328] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:04:18.282721] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:04:18.422821] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
[info] [2024-04-13T02:04:18.550318] Successfully retrieved item (recognised_profile_name_split_types) from file (scan_config)
